"Date"	"Dh(cm)"
"16/11/2017 09:55"	-0.21
"13/12/2017 10:00"	0
"08/01/2018 00:00"	0
"09/01/2018 16:10"	-5
"11/01/2018 12:00"	0
"22/01/2018 00:00"	0
"25/01/2018 10:30"	-5
"30/01/2018 00:00"	0
"18/07/2018 00:00"	0
"19/07/2018 10:40"	-0.2
"09/08/2018 11:00"	-0.23
"30/08/2018 08:45"	-0.37
"26/09/2018 09:59"	-0.45
"08/11/2018 10:30"	-0.39
"20/12/2018 00:00"	0
"29/01/2019 10:05"	-0.23
"28/02/2019 10:46"	0
"01/05/2019 00:00"	0
"15/05/2019 08:30"	-0.25
"12/06/2019 10:40"	-0.35
"25/06/2019 10:20"	-0.39
"11/07/2019 09:10"	-0.6
"25/07/2019 08:00"	-0.63
"22/08/2019 08:55"	-0.46
"10/09/2019 00:00"	0
"30/08/2020 00:00"	0
"24/09/2020 09:15"	-0.13
"22/10/2020 09:10"	-0.19
"10/11/2020 09:45"	-0.18
"26/11/2020 09:30"	-0.11
"14/01/2021 10:00"	0
"21/01/2021 07:15"	0.01
"28/01/2021 09:19"	-0.91
"04/02/2021 14:31"	-0.93
"15/02/2021 00:00"	0
"01/04/2022 00:00"	0
"19/04/2022 14:37"	-0.18
"31/05/2022 03:12"	-0.61
"11/06/2022 19:26"	-0.65
"06/07/2022 18:22"	-0.58
"02/08/2022 12:00"	-0.42
"31/08/2022 10:32"	-0.35
"20/10/2022 09:30"	-0.43
"23/12/2022 12:00"	-0.4
"18/01/2023 17:03"	-1.77
"01/05/2023 00:00"	-0.25
