"Date"	"Dh(cm)"	"id"
"03/04/2007 00:00"	0	3
"07/05/2007 00:00"	-4.7	3
"20/05/2007 00:00"	-6	3
"27/05/2007 00:00"	-6.5	3
"03/06/2007 00:00"	-6.9	3
"10/06/2007 00:00"	-6.5	3
"19/07/2007 00:00"	-4	3
"29/07/2007 00:00"	0	3
"26/08/2007 00:00"	0	3
"05/09/2007 00:00"	-5.7	3
"10/10/2007 00:00"	-8	3
"25/10/2007 00:00"	-8.5	3
"05/11/2007 00:00"	-8.5	3
"15/11/2007 00:00"	-8	3
"10/12/2007 00:00"	0	3
"31/05/2008 00:00"	0	3
"02/06/2008 00:00"	-2	3
"03/06/2008 00:00"	-2.2	3
"10/06/2008 00:00"	-2.5	3
"10/07/2008 00:00"	-3.5	3
"18/07/2008 00:00"	-4	3
"27/07/2008 00:00"	-4.5	3
"27/08/2008 00:00"	-7.5	3
"04/09/2008 00:00"	-8	3
"12/09/2008 00:00"	-7.5	3
"10/10/2008 00:00"	0	3
"12/05/2009 00:00"	0	3
"10/06/2009 00:00"	-3	3
"16/07/2009 00:00"	-0.5	3
"26/07/2009 00:00"	0	3
"29/01/2010 12:05"	0	3
"02/02/2010 17:44"	-1.3	3
"15/02/2010 19:53"	-1.7	3
"10/03/2010 05:37"	-1.8	3
"28/03/2010 17:37"	-1.3	3
"13/04/2010 10:24"	-0.5	3
"27/04/2010 04:27"	-0.5	3
"13/05/2010 00:03"	-0.9	3
"28/05/2010 19:39"	-2.4	3
"08/06/2010 04:21"	-2.5	3
"19/06/2010 02:09"	-1.9	3
"25/06/2010 02:08"	-0.8	3
"01/07/2010 02:07"	-0.3	3
"11/07/2010 10:49"	-0.3	3
"02/08/2010 11:37"	-1.1	3
"07/09/2010 21:09"	-0.9	3
"07/11/2010 22:24"	0	3
"28/01/2011 05:04"	0	3
"02/02/2011 19:09"	-0.6	3
"05/03/2011 23:43"	-1.2	3
"05/04/2011 05:57"	-1.4	3
"01/05/2011 18:49"	-1.2	3
"24/05/2011 03:06"	-1.2	3
"02/06/2011 21:44"	-2	3
"16/06/2011 03:17"	-2.7	3
"26/06/2011 08:04"	-3	3
"12/07/2011 18:28"	-3	3
"28/07/2011 01:41"	-2.9	3
"11/08/2011 05:38"	-2.6	3
"18/08/2011 14:26"	-2.7	3
"14/09/2011 05:37"	-3.8	3
"01/10/2011 19:12"	-4.3	3
"20/10/2011 11:59"	-4.4	3
"08/11/2011 04:47"	-4.3	3
"21/11/2011 19:10"	-3.9	3
"07/12/2011 08:48"	-3.1	3
"15/12/2011 18:19"	0	3
"06/04/2012 01:52"	0	3
"11/04/2012 12:05"	-0.7	3
"18/04/2012 09:50"	-1.3	3
"10/05/2012 11:48"	-1.5	3
"06/06/2012 08:36"	-0.8	3
"19/06/2012 02:44"	-1.4	3
"30/06/2012 17:21"	-2.1	3
"11/07/2012 07:35"	-3.2	3
"24/07/2012 00:39"	-2.8	3
"08/08/2012 07:01"	-2.2	3
"04/09/2012 22:18"	-2	3
"19/09/2012 07:00"	-2.6	3
"19/09/2012 12:00"	0	3
"02/10/2012 20:15"	-0.2	3
"17/10/2012 15:53"	-0.6	3
"29/10/2012 10:09"	-1.3	3
"06/11/2012 03:57"	-1.9	3
"13/11/2012 21:45"	-2.2	3
"05/12/2012 20:28"	-2.1	3
"06/12/2012 08:34"	0	3
"25/07/2013 07:46"	0	3
"31/07/2013 18:11"	-0.5	3
"07/08/2013 07:41"	-1.4	3
"28/08/2013 10:58"	-1.7	3
"12/09/2013 01:35"	-1.6	3
"20/09/2013 09:29"	-1.3	3
"29/09/2013 02:26"	-0.8	3
"06/10/2013 13:07"	0	3
"01/06/2014 14:09"	0	3
"04/06/2014 13:24"	-0.5	3
"17/06/2014 09:30"	-0.9	3
"09/07/2014 14:54"	-1.2	3
"12/08/2014 07:52"	-2.8	3
"09/10/2014 17:58"	-3.7	3
"22/10/2014 03:39"	-3.3	3
"03/11/2014 12:00"	-2	3
"13/11/2014 15:00"	0	3
"05/06/2015 23:43"	0	3
"13/06/2015 12:22"	-0.4	3
"23/06/2015 12:05"	-1.6	3
"30/06/2015 14:20"	-3.1	3
"01/07/2015 07:07"	0	3
"07/07/2015 23:20"	-0.9	3
"12/07/2015 11:37"	-2.2	3
"16/07/2015 10:15"	-3	3
"06/08/2015 11:43"	-2.9	3
"21/08/2015 22:41"	-4.2	3
"01/09/2015 11:26"	-7.2	3
"25/09/2015 17:20"	-6.6	3
"21/10/2015 10:52"	-5.2	3
"02/12/2015 06:08"	-3.4	3
"02/01/2016 17:12"	-1.8	3
"04/01/2016 22:30"	0	3
"01/08/2016 12:00"	0	3
"10/08/2016 13:25"	-1	3
"27/09/2016 13:10"	-3.2	3
"28/09/2016 13:05"	-3.6	3
"28/09/2016 13:35"	0	3
"01/10/2016 02:20"	0	3
"10/10/2016 16:30"	-0.9	3
"20/10/2016 13:07"	-2.1	3
"26/10/2016 14:09"	-3.2	3
"31/10/2016 23:03"	-3	3
"07/11/2016 14:54"	-1.9	3
"17/11/2016 20:03"	-0.8	3
"30/11/2016 04:24"	0	3
"03/01/2017 00:00"	0	3
"14/01/2017 17:48"	-0.9	3
"26/01/2017 15:28"	-1.9	3
"01/02/2017 00:50"	-1.9	3
"06/02/2017 10:52"	-1.2	3
"13/02/2017 02:48"	0	3
"20/02/2017 10:42"	0	3
"24/02/2017 12:45"	-1.5	3
"01/03/2017 16:25"	-3.4	3
"17/03/2017 14:48"	-2.8	3
"24/03/2017 06:39"	-1.9	3
"01/04/2017 15:05"	0	3
"23/04/2017 11:03"	0	3
"02/05/2017 14:37"	-1	3
"11/05/2017 13:58"	-1.5	3
"20/06/2017 16:45"	-3.3	3
"06/07/2017 08:31"	-1.9	3
"03/08/2017 08:54"	-2.5	3
"23/08/2017 09:33"	-3.9	3
"06/09/2017 23:20"	-5.9	3
"18/09/2017 12:22"	-8	3
"27/09/2017 10:46"	-10.1	3
"08/10/2017 04:00"	-11.9	3
"25/10/2017 14:58"	-12.7	3
"08/11/2017 13:35"	-13.6	3
"30/11/2017 11:00"	-12.6	3
"27/12/2017 16:18"	-10.2	3
"03/01/2018 02:14"	0	3
"15/09/2018 09:00"	0	3
"25/09/2018 05:03"	-0.5	3
"10/10/2018 10:30"	-1.9	3
"20/10/2018 17:47"	-4	3
"27/10/2018 07:32"	-6.1	3
"30/10/2018 09:20"	-11.8	3
"27/11/2018 13:54"	-9.9	3
"27/12/2018 10:07"	-2.7	3
"08/01/2019 14:37"	-1.7	3
"28/01/2019 18:11"	0	3
"14/08/2019 23:15"	0	3
"25/08/2019 06:33"	-1.8	3
"04/09/2019 19:04"	-3.8	3
"25/09/2019 20:35"	-5.2	3
"09/10/2019 14:00"	-4.3	3
"26/10/2019 12:49"	-1.6	3
"27/11/2019 09:36"	-2	3
"13/12/2019 12:00"	0	3
"26/03/2020 15:00"	0	3
"05/04/2020 20:00"	-1	3
"13/04/2020 00:00"	-1.8	3
"06/05/2020 12:24"	-2.7	3
"14/05/2020 11:54"	-2.1	3
"20/05/2020 12:40"	-0.9	3
"10/06/2020 10:30"	-0.4	3
"28/06/2020 03:05"	0	3
"12/08/2020 00:00"	0	3
"22/08/2020 17:21"	-2.9	3
"09/09/2020 09:00"	-3.9	3
"24/09/2020 06:39"	-4.4	3
"07/10/2020 07:18"	-5.6	3
"22/10/2020 08:50"	-5.1	3
"01/12/2020 15:00"	-4.3	3
"05/12/2020 18:00"	0	3
"10/03/2021 12:00"	0	3
"14/03/2021 12:00"	-5	3
"18/03/2021 10:00"	-5.3	3
"18/03/2021 10:20"	-3	3
"18/03/2021 10:50"	0	3
"15/04/2021 00:00"	0	3
"22/04/2021 00:00"	-1	3
"29/04/2021 08:30"	-2.9	3
"10/06/2021 00:00"	-2.5	3
"17/06/2021 00:00"	0	3
"14/08/2021 00:00"	0	3
"31/08/2021 11:00"	-1.8	3
"09/09/2021 00:00"	-0.9	3
"17/09/2021 00:00"	0	3
"20/10/2021 21:00"	0	3
"21/10/2021 08:00"	-3	3
"23/10/2021 15:00"	-4.2	3
"27/10/2021 07:20"	-4.2	3
"25/11/2021 00:00"	-4	3
"27/11/2021 00:00"	0	3
