"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"
"20/04/2006 09:00"	"175"	-137.5	53.7	NA	"QD"	NA	NA
"04/07/2006 14:15"	"176"	-215.8	6.19	-0.2	"AP"	NA	NA
"06/09/2006 14:15"	"177"	-223.5	3.62	-2.8	"AP"	NA	NA
"01/02/2007 09:20"	"178"	-115.5	70.8	NA	"AP"	NA	NA
"25/04/2007 15:13"	"180"	-201.4	10.8	NA	"AP"	NA	NA
"20/06/2007 09:00"	"181"	-128	59.3	-2.7	"AU"	NA	NA
"11/10/2007 14:30"	"182"	-187	17.7	-2.8	"AP"	NA	NA
"14/11/2007 15:50"	"183"	-206	7.78	-4.5	"AP"	NA	NA
"09/01/2008 16:30"	"184"	-42.5	101	NA	"AP"	NA	NA
"09/01/2008 16:30"	"184"	-42.5	101	NA	"AP"	NA	NA
"13/02/2008 12:30"	"185"	-183.5	18.9	-4.6	"AP"	NA	NA
"02/04/2008 08:00"	"186"	-104	65.8	-18.6	"SI"	NA	NA
"23/04/2008 20:54"	"187"	19	162	-24.8	"SI"	NA	NA
"29/05/2008 13:55"	"188"	115	270	NA	"SI"	NA	NA
"29/05/2008 13:55"	"188"	115	270	NA	"SI"	NA	NA
"23/07/2008 08:15"	"189"	-209	7.64	-2	"AP"	NA	NA
"30/07/2008 00:00"	"190"	-212	6.7	-2.4	"AP"	NA	NA
"05/08/2008 09:40"	"191"	-211	6.84	-2.6	"AP"	NA	NA
"03/09/2008 15:40"	"192"	-211	6.65	-3.5	"AP"	NA	NA
"04/12/2008 11:00"	"193"	-147.5	44.2	NA	"AP"	NA	NA
"04/12/2008 11:00"	"193"	-147.5	44.2	NA	"AP"	NA	NA
"11/02/2009 13:15"	"194"	-166	29.1	-5	"AP"	NA	NA
"17/03/2009 10:00"	"195"	-202	10.1	-1.2	"AP"	NA	NA
"12/05/2009 12:10"	"196"	-161	19.4	-25.6	"AP"	NA	NA
"20/05/2009 08:30"	"197"	-122	40.8	-30.8	"AP"	NA	NA
"09/06/2009 14:10"	"198"	-163.5	19.2	-23.9	"AP"	NA	NA
"30/06/2009 09:30"	"199"	-203	8.3	-6	"AP"	NA	NA
"23/07/2009 14:00"	"200"	-200	12.1	NA	"AP"	NA	NA
"23/07/2009 14:00"	"200"	-200	12.1	NA	"AP"	NA	NA
"17/09/2009 11:40"	"201"	-216.1	4.39	-6.8	"AP"	NA	NA
"04/11/2009 09:00"	"202"	-215.5	4.48	-7	"AP"	NA	NA
"17/12/2009 13:00"	"203"	-202.5	10.5	NA	"AP"	NA	NA
"10/03/2010 13:30"	"205"	-146	48.7	NA	"AP"	NA	NA
"13/04/2010 08:00"	"206"	-152	39.2	-3.6	"AP"	NA	NA
"08/06/2010 10:30"	"207"	-179	14.6	-16.2	"AP"	NA	NA
"07/07/2010 10:05"	"208"	-176.3	25.9	NA	"AP"	NA	NA
"07/09/2010 09:15"	"210"	-220	5.17	NA	"AP"	NA	NA
"09/11/2010 09:35"	"211"	-217.5	5.11	-2.7	"AP"	NA	NA
"01/02/2011 11:00"	"212"	-190	18.6	NA	"AP"	NA	NA
"01/02/2011 11:00"	"212"	-190	18.6	NA	"AP"	NA	NA
"05/04/2011 10:00"	"213"	-199	11.1	-2.1	"AP"	NA	NA
"24/05/2011 07:30"	"214"	-210	3.85	-15.4	"AP"	NA	NA
"08/06/2011 06:55"	"215"	-212.5	4.08	-11.9	"AP"	NA	NA
"29/06/2011 12:40"	"216"	-221.7	3.16	-7.2	"AP"	NA	NA
"17/08/2011 12:00"	"217"	-223	3.46	-4.2	"AP"	NA	NA
"14/09/2011 10:00"	"218"	-223	3.3	-5	"AU"	NA	NA
