"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"	"id"
"24/03/2003 10:45"	"38"	63.9	2.84	NA	"PP"	NA	NA	10
"12/06/2003 11:00"	"39"	58.3	1.58	-8	"PP"	NA	NA	10
"16/07/2003 09:50"	"40"	51.8	1.21	-5.2	"PP"	NA	NA	10
"05/08/2003 09:45"	"41"	44.5	0.989	-1.3	"PP"	NA	NA	10
"15/09/2003 16:00"	"42"	45.3	1.19	NA	"PP"	NA	NA	10
"17/03/2004 09:55"	"48"	66	3.33	NA	"PP"	NA	NA	10
"28/05/2004 10:20"	"49"	49.3	1.29	-2.4	"PP"	NA	NA	10
"22/06/2004 10:50"	"50"	42	0.728	-2.8	"PP"	NA	NA	10
"27/07/2004 10:20"	"51"	39.9	0.681	-1.2	"PP"	NA	NA	10
"25/08/2004 15:15"	"52"	44.5	1.05	NA	"PP"	NA	NA	10
"24/04/2006 10:25"	"69"	46.3	1.23	NA	"PP"	NA	NA	10
"29/05/2006 09:20"	"70"	43.4	0.693	-4.5	"PP"	NA	NA	10
"12/06/2006 11:30"	"71"	35	0.393	-0.6	"PP"	NA	NA	10
"05/07/2006 16:00"	"72"	33.8	0.338	NA	"PP"	NA	NA	10
"18/10/2006 10:10"	"75"	36.9	0.584	NA	"PP"	NA	NA	10
"07/12/2006 09:50"	"76"	52	1.48	-4	"PP"	NA	NA	10
"15/01/2007 10:30"	"77"	50.7	1.45	-3	"PP"	NA	NA	10
"20/02/2007 10:30"	"78"	53.9	1.99	-1.6	"PP"	NA	NA	10
"27/04/2007 09:20"	"79"	38.8	0.723	NA	"PP"	NA	NA	10
"05/06/2007 10:15"	"80"	41.6	0.813	NA	"PP"	NA	NA	10
"11/07/2007 10:30"	"81"	46.2	0.903	-4.2	"PP"	NA	NA	10
"31/07/2007 10:17"	"82"	40	0.646	-3.5	"PP"	NA	NA	10
"08/08/2007 11:05"	"83"	40.7	0.615	-3.2	"PP"	NA	NA	10
"30/08/2007 15:55"	"84"	42.5	0.77	-2.3	"PI"	NA	NA	10
"27/09/2007 14:35"	"85"	40.1	0.701	-1.1	"PP"	NA	NA	10
"17/10/2007 10:25"	"86"	40.1	0.735	-0.3	"PP"	NA	NA	10
"13/12/2007 11:25"	"87"	63	3.45	NA	"AP"	NA	NA	10
"18/03/2008 16:40"	"90"	72.3	3.79	NA	"AP"	NA	NA	10
"29/04/2008 08:25"	"91"	57	1.95	-3.4	"PP"	NA	NA	10
"19/06/2008 07:15"	"92"	52	1.08	-8.2	"PP"	NA	NA	10
"08/07/2008 14:44"	"93"	51.9	0.99	-9	"PP"	NA	NA	10
"23/07/2008 13:45"	"94"	44	0.689	-5.1	"AP"	NA	NA	10
