"Date"	"No_jau"	"h(cm)"	"Q(m3/s)"	"Dh(cm)"	"Mode_jau"	"Inc_rel_Q_val"	"Inc_rel_Q_cal"
"11/03/1999 12:10"	32	45.1	0.773	NA	"PP"	NA	NA
"23/04/1999 11:05"	33	49	0.961	-1.5	"PP"	NA	NA
"18/05/1999 15:00"	34	54.5	1.08	-6.2	"PP"	NA	NA
"15/06/1999 15:40"	35	54.8	0.905	-7.9	"PP"	NA	NA
"15/07/1999 12:00"	36	45.5	0.829	NA	"PP"	NA	NA
"08/03/2000 13:45"	43	52.5	1.6	NA	"PP"	NA	NA
"04/04/2000 13:30"	44	62.5	1.76	-7.2	"PP"	NA	NA
"11/05/2000 14:25"	45	82.8	2.57	-20.8	"PP"	NA	NA
"07/06/2000 13:50"	46	83.7	2.13	-24.7	"PP"	NA	NA
"04/07/2000 14:05"	47	74.7	1.52	-21.8	"PP"	NA	NA
"01/08/2000 13:50"	48	72.2	1.55	-18.2	"PP"	NA	NA
"30/08/2000 14:40"	49	61.2	1.11	-13.8	"PP"	NA	NA
"27/09/2000 14:45"	50	55.7	1.46	-2.8	"PP"	NA	NA
"10/11/2000 11:40"	51	55	1.68	NA	"PP"	NA	NA
"09/01/2001 13:50"	53	62.7	2.58	NA	"PP"	NA	NA
"15/02/2001 14:00"	54	75	3.77	-2.9	"PP"	NA	NA
"13/03/2001 14:50"	55	85	5.24	-5.2	"SI"	NA	NA
"09/04/2001 11:45"	56	94	5.81	-6	"SI"	NA	NA
"09/05/2001 13:50"	57	100.5	7.26	-6	"SI"	NA	NA
"06/07/2001 13:55"	58	81.7	2.6	-19.7	"PP"	NA	NA
"02/08/2001 14:50"	59	87.5	3.31	-20.5	"PP"	NA	NA
"04/09/2001 14:00"	60	87.5	3.66	-18	"PP"	NA	NA
"03/10/2001 14:16"	61	83.7	4.2	-10.5	"PP"	NA	NA
"07/11/2001 12:00"	62	80.8	4.22	-7.4	"PP"	NA	NA
"04/12/2001 12:15"	63	80	4.41	-5	"PP"	NA	NA
"07/02/2002 11:50"	64	75.5	4.67	NA	"PP"	NA	NA
"13/03/2002 13:30"	65	79	4.79	NA	"PP"	NA	NA
"17/04/2002 14:00"	66	81.8	4.55	-5.4	"PP"	NA	NA
"23/05/2002 14:25"	67	85.5	4.26	-11.5	"PP"	NA	NA
"20/06/2002 14:05"	68	86	3.83	-15	"PP"	NA	NA
"11/07/2002 12:00"	69	78.2	2.76	-15	"PP"	NA	NA
"21/08/2002 11:20"	70	66.5	2.04	-9.1	"PP"	NA	NA
"05/09/2002 14:35"	71	72	2.91	-7.4	"PP"	NA	NA
"10/10/2002 11:45"	72	70.2	2.9	-6	"PP"	NA	NA
"14/11/2002 14:10"	73	72.5	3.17	-6	"PP"	NA	NA
"19/12/2002 14:30"	74	69.5	3.69	NA	"PP"	NA	NA
"25/02/2003 13:30"	76	81	5.3	NA	"PP"	NA	NA
"01/04/2003 13:30"	77	83.3	5.31	-2.3	"PP"	NA	NA
"07/05/2003 13:30"	78	83	4.4	-8.2	"PP"	NA	NA
"27/06/2003 14:00"	79	68.3	2.33	-7.9	"PP"	NA	NA
"24/07/2003 15:15"	80	59.5	1.8	-3.4	"PP"	NA	NA
"19/08/2003 10:45"	81	53.4	1.43	-1.2	"PP"	NA	NA
"24/09/2003 14:25"	82	56.5	1.79	NA	"PP"	NA	NA
"15/04/2004 16:00"	86	64.2	2.82	NA	"PP"	NA	NA
"11/05/2004 13:48"	87	68.3	2.52	-7.2	"PP"	NA	NA
"14/06/2004 14:20"	88	56.4	1.33	-4.8	"PP"	NA	NA
"19/07/2004 14:20"	89	48.3	1.07	NA	"PP"	NA	NA
"28/02/2005 13:30"	93	53.7	1.55	NA	"PP"	NA	NA
"06/04/2005 14:29"	94	55	1.55	-1.1	"AP"	NA	NA
"06/04/2005 15:00"	95	55	1.58	-1.1	"PP"	NA	NA
"12/05/2005 14:10"	96	58	1.51	-5	"AP"	NA	NA
"14/06/2005 14:25"	97	56	1.04	-7.5	"AP"	NA	NA
"20/07/2005 13:45"	98	49.5	0.843	-3.4	"PP"	NA	NA
"19/08/2005 14:35"	99	43.9	0.6	-1.3	"QD"	NA	NA
"22/09/2005 14:45"	100	45.9	0.828	NA	"PP"	NA	NA
"14/03/2006 14:05"	104	50.4	1.2	NA	"PP"	NA	NA
"22/05/2006 14:00"	105	49.8	0.898	-2.8	"PP"	NA	NA
"22/06/2006 14:00"	106	38.2	0.39	NA	"PP"	NA	NA
"22/03/2007 11:00"	113	44.7	0.754	NA	"AP"	NA	NA
"19/04/2007 10:30"	114	44.2	0.607	-1.6	"PP"	NA	NA
"24/05/2007 10:55"	115	40.3	0.444	-1.8	"PP"	NA	NA
"21/06/2007 11:55"	116	42.6	0.514	-2	"PP"	NA	NA
"28/06/2007 10:55"	117	42.6	0.534	-2.2	"PP"	NA	NA
"28/06/2007 11:35"	118	42.6	0.516	-2.2	"AP"	NA	NA
"31/07/2007 11:15"	119	41	0.357	-3.6	"AP"	NA	NA
"31/07/2007 11:40"	120	41	0.367	-3.6	"PP"	NA	NA
"28/08/2007 12:00"	121	40.8	0.47	-1.5	"PP"	NA	NA
"20/09/2007 10:30"	122	39.6	0.407	-1.5	"PP"	NA	NA
"22/10/2007 11:00"	123	40.5	0.434	-1.5	"PP"	NA	NA
