Date	Dh(mm)
03/04/2007 00:00	0
07/05/2007 00:00	-47
20/05/2007 00:00	-60
27/05/2007 00:00	-65
03/06/2007 00:00	-69
10/06/2007 00:00	-65
19/07/2007 00:00	-40
29/07/2007 00:00	0
26/08/2007 00:00	0
05/09/2007 00:00	-57
10/10/2007 00:00	-80
25/10/2007 00:00	-85
05/11/2007 00:00	-85
15/11/2007 00:00	-80
10/12/2007 00:00	0
31/05/2008 00:00	0
02/06/2008 00:00	-20
03/06/2008 00:00	-22
10/06/2008 00:00	-25
10/07/2008 00:00	-35
18/07/2008 00:00	-40
27/07/2008 00:00	-45
27/08/2008 00:00	-75
04/09/2008 00:00	-80
12/09/2008 00:00	-75
10/10/2008 00:00	0
12/05/2009 00:00	0
10/06/2009 00:00	-30
16/07/2009 00:00	-5
26/07/2009 00:00	0
29/01/2010 12:05	0
02/02/2010 17:44	-13
15/02/2010 19:53	-17
10/03/2010 05:37	-18
28/03/2010 17:37	-13
13/04/2010 10:24	-5
27/04/2010 04:27	-5
13/05/2010 00:03	-9
28/05/2010 19:39	-24
08/06/2010 04:21	-25
19/06/2010 02:09	-19
25/06/2010 02:08	-8
01/07/2010 02:07	-3
11/07/2010 10:49	-3
02/08/2010 11:37	-11
07/09/2010 21:09	-9
07/11/2010 22:24	0
28/01/2011 05:04	0
02/02/2011 19:09	-6
05/03/2011 23:43	-12
05/04/2011 05:57	-14
01/05/2011 18:49	-12
24/05/2011 03:06	-12
02/06/2011 21:44	-20
16/06/2011 03:17	-27
26/06/2011 08:04	-30
12/07/2011 18:28	-30
28/07/2011 01:41	-29
11/08/2011 05:38	-26
18/08/2011 14:26	-27
14/09/2011 05:37	-38
01/10/2011 19:12	-43
20/10/2011 11:59	-44
08/11/2011 04:47	-43
21/11/2011 19:10	-39
07/12/2011 08:48	-31
15/12/2011 18:19	0
06/04/2012 01:52	0
11/04/2012 12:05	-7
18/04/2012 09:50	-13
10/05/2012 11:48	-15
06/06/2012 08:36	-8
19/06/2012 02:44	-14
30/06/2012 17:21	-21
11/07/2012 07:35	-32
24/07/2012 00:39	-28
08/08/2012 07:01	-22
04/09/2012 22:18	-20
19/09/2012 07:00	-26
19/09/2012 12:00	0
02/10/2012 20:15	-2
17/10/2012 15:53	-6
29/10/2012 10:09	-13
06/11/2012 03:57	-19
13/11/2012 21:45	-22
05/12/2012 20:28	-21
06/12/2012 08:34	0
25/07/2013 07:46	0
31/07/2013 18:11	-5
07/08/2013 07:41	-14
28/08/2013 10:58	-17
12/09/2013 01:35	-16
20/09/2013 09:29	-13
29/09/2013 02:26	-8
06/10/2013 13:07	0
01/06/2014 14:09	0
04/06/2014 13:24	-5
17/06/2014 09:30	-9
09/07/2014 14:54	-12
12/08/2014 07:52	-28
09/10/2014 17:58	-37
22/10/2014 03:39	-33
03/11/2014 12:00	-20
13/11/2014 15:00	0
05/06/2015 23:43	0
13/06/2015 12:22	-4
23/06/2015 12:05	-16
30/06/2015 14:20	-31
01/07/2015 07:07	0
07/07/2015 23:20	-9
12/07/2015 11:37	-22
16/07/2015 10:15	-30
06/08/2015 11:43	-29
21/08/2015 22:41	-42
01/09/2015 11:26	-72
25/09/2015 17:20	-66
21/10/2015 10:52	-52
02/12/2015 06:08	-34
02/01/2016 17:12	-18
04/01/2016 22:30	0
01/08/2016 12:00	0
10/08/2016 13:25	-10
27/09/2016 13:10	-32
28/09/2016 13:05	-36
28/09/2016 13:35	0
01/10/2016 02:20	0
10/10/2016 16:30	-9
20/10/2016 13:07	-21
26/10/2016 14:09	-32
31/10/2016 23:03	-30
07/11/2016 14:54	-19
17/11/2016 20:03	-8
30/11/2016 04:24	0
03/01/2017 00:00	0
14/01/2017 17:48	-9
26/01/2017 15:28	-19
01/02/2017 00:50	-19
06/02/2017 10:52	-12
13/02/2017 02:48	0
20/02/2017 10:42	0
24/02/2017 12:45	-15
01/03/2017 16:25	-34
17/03/2017 14:48	-28
24/03/2017 06:39	-19
01/04/2017 15:05	0
23/04/2017 11:03	0
02/05/2017 14:37	-10
11/05/2017 13:58	-15
20/06/2017 16:45	-33
06/07/2017 08:31	-19
03/08/2017 08:54	-25
23/08/2017 09:33	-39
06/09/2017 23:20	-59
18/09/2017 12:22	-80
27/09/2017 10:46	-101
08/10/2017 04:00	-119
25/10/2017 14:58	-127
08/11/2017 13:35	-136
30/11/2017 11:00	-126
27/12/2017 16:18	-102
03/01/2018 02:14	0
15/09/2018 09:00	0
25/09/2018 05:03	-5
10/10/2018 10:30	-19
20/10/2018 17:47	-40
27/10/2018 07:32	-61
30/10/2018 09:20	-118
27/11/2018 13:54	-99
27/12/2018 10:07	-27
08/01/2019 14:37	-17
28/01/2019 18:11	0
14/08/2019 23:15	0
25/08/2019 06:33	-18
04/09/2019 19:04	-38
25/09/2019 20:35	-52
09/10/2019 14:00	-43
26/10/2019 12:49	-16
27/11/2019 09:36	-20
13/12/2019 12:00	0
26/03/2020 15:00	0
05/04/2020 20:00	-10
13/04/2020 00:00	-18
06/05/2020 12:24	-27
14/05/2020 11:54	-21
20/05/2020 12:40	-9
10/06/2020 10:30	-4
28/06/2020 03:05	0
12/08/2020 00:00	0
22/08/2020 17:21	-29
09/09/2020 09:00	-39
24/09/2020 06:39	-44
07/10/2020 07:18	-56
22/10/2020 08:50	-51
01/12/2020 15:00	-43
05/12/2020 18:00	0
10/03/2021 12:00	0
14/03/2021 12:00	-50
18/03/2021 10:00	-53
18/03/2021 10:20	-30
18/03/2021 10:50	0
15/04/2021 00:00	0
22/04/2021 00:00	-10
29/04/2021 08:30	-29
10/06/2021 00:00	-25
17/06/2021 00:00	0
14/08/2021 00:00	0
31/08/2021 11:00	-18
09/09/2021 00:00	-9
17/09/2021 00:00	0
20/10/2021 21:00	0
21/10/2021 08:00	-30
23/10/2021 15:00	-42
27/10/2021 07:20	-42
25/11/2021 00:00	-40
27/11/2021 00:00	0
	
