Date	Dh(mm)
03/07/2013 00:00	-235
17/07/2013 00:00	-190
21/07/2013 00:00	-180
15/10/2013 00:00	-125
29/10/2013 00:00	-105
18/11/2013 00:00	-70
30/11/2013 00:00	-55
15/12/2013 00:00	-45
10/01/2014 00:00	-40
10/02/2014 00:00	-50
17/03/2014 00:00	-65
23/03/2014 00:00	-80
02/04/2014 00:00	-115
13/04/2014 00:00	-145
24/04/2014 00:00	-160
01/05/2014 00:00	-170
27/05/2014 00:00	-250
15/07/2014 00:00	-255
27/08/2014 00:00	-250
14/09/2014 00:00	-200
01/10/2014 00:00	-170
03/11/2014 00:00	-145
04/12/2014 00:00	-105
05/02/2015 00:00	0
06/03/2015 00:00	0
15/03/2015 00:00	-25
24/03/2015 00:00	-45
01/04/2015 00:00	-60
19/04/2015 00:00	-85
27/04/2015 00:00	-110
05/05/2015 00:00	-150
11/05/2015 00:00	-170
01/06/2015 00:00	-170
12/06/2015 00:00	-160
26/06/2015 00:00	-120
08/07/2015 00:00	-65
19/07/2015 00:00	-10
25/08/2015 00:00	-10
01/10/2015 00:00	0
01/03/2016 00:00	0
04/05/2016 00:00	-30
01/06/2016 00:00	-130
15/06/2016 00:00	-165
09/07/2016 00:00	-165
13/07/2016 00:00	-160
01/08/2016 00:00	-120
01/10/2016 00:00	-25
01/11/2016 00:00	-15
30/12/2016 00:00	0
10/03/2017 00:00	0
13/04/2017 00:00	-80
11/05/2017 00:00	-120
19/05/2017 00:00	-130
04/06/2017 00:00	-145
11/06/2017 00:00	-150
05/07/2017 00:00	-70
07/08/2017 00:00	0
08/03/2018 00:00	0
19/04/2018 00:00	-55
18/06/2018 00:00	-150
27/06/2018 00:00	-160
06/07/2018 00:00	-155
21/08/2018 00:00	-55
13/09/2018 00:00	-20
10/11/2018 00:00	0
21/02/2019 00:00	0
10/05/2019 00:00	-45
20/05/2019 00:00	-95
30/05/2019 00:00	-95
30/06/2019 00:00	-70
23/07/2019 00:00	-40
24/09/2019 00:00	0
15/02/2020 00:00	0
02/03/2020 00:00	-25
05/05/2020 00:00	-150
20/05/2020 00:00	-150
01/06/2020 00:00	-140
19/06/2020 00:00	-115
23/07/2020 00:00	-55
19/08/2020 00:00	0
12/02/2021 23:36	0
23/04/2021 11:15	-21
07/05/2021 00:00	-50
23/05/2021 09:28	-102
31/05/2021 03:52	-120
23/06/2021 09:22	-130
12/07/2021 10:02	-130
30/08/2021 10:44	-27
20/09/2021 21:48	0
07/04/2022 11:48	0
04/05/2022 08:00	-43
20/06/2022 08:00	-28
11/07/2022 18:37	0
