Date	Dh(mm)
23/03/2009 00:00	0
16/04/2009 00:00	-15
08/05/2009 00:00	-30
30/05/2009 00:00	-50
09/06/2009 00:00	-57
20/06/2009 00:00	-57
25/06/2009 00:00	-55
01/07/2009 00:00	-50
08/07/2009 00:00	-40
01/08/2009 00:00	0
22/03/2010 00:00	0
30/03/2010 00:00	-10
06/04/2010 00:00	-20
15/04/2010 00:00	-40
24/04/2010 00:00	-70
04/05/2010 00:00	-90
15/05/2010 00:00	-100
21/05/2010 00:00	-103
13/06/2010 00:00	-105
17/06/2010 00:00	-90
20/06/2010 00:00	-60
25/06/2010 00:00	-25
01/07/2010 00:00	-10
10/07/2010 00:00	0
20/04/2011 00:00	0
25/04/2011 13:00	-3
30/04/2011 13:00	-7
10/05/2011 09:00	-18
17/05/2011 21:00	-30
23/05/2011 02:00	-37
28/05/2011 05:00	-40
31/05/2011 14:00	-40
04/06/2011 00:00	-39
10/06/2011 00:00	-33
26/06/2011 00:00	-19
03/07/2011 12:37	-16
21/09/2011 02:54	-9
14/11/2011 04:00	0
08/04/2012 00:00	0
15/04/2012 00:00	-20
24/04/2012 00:00	-45
28/04/2012 00:00	-55
05/05/2012 00:00	-65
21/05/2012 00:00	-75
25/05/2012 00:00	-115
31/05/2012 00:00	-140
11/06/2012 07:38	-147
18/06/2012 20:50	-132
24/06/2012 09:00	-108
04/07/2012 05:37	-60
11/07/2012 14:33	-37
14/07/2012 21:26	-29
22/07/2012 17:02	-22
23/08/2012 12:12	-13
13/10/2012 17:46	-14
15/10/2012 18:48	0
15/05/2019 00:00	0
12/06/2019 11:30	-35
25/06/2019 09:05	-44
11/07/2019 11:00	-34
25/07/2019 10:40	-32
22/08/2019 07:51	-32
19/09/2019 08:40	-12
24/10/2019 08:12	0
01/04/2022 00:00	0
13/04/2022 13:03	-75
31/05/2022 11:49	-141
07/07/2022 10:56	-127
21/07/2022 10:08	-49
18/08/2022 10:20	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
