Date	Dh(mm)
31/03/2015 23:00	0
07/04/2015 12:00	-30
19/05/2015 12:00	-45
23/06/2015 00:00	-65
20/07/2015 11:55	-37
27/07/2015 13:00	-37
18/08/2015 09:00	-20
01/09/2015 12:35	-20
21/09/2015 14:10	0
15/10/2015 00:00	0
14/06/2016 14:15	0
28/07/2016 08:20	-20
31/08/2016 12:25	-20
19/10/2016 11:40	0
30/10/2016 00:00	0
07/06/2017 12:30	0
30/06/2017 08:50	-10
03/08/2017 07:45	-20
05/09/2017 15:00	-20
16/10/2017 09:00	-25
09/11/2017 14:00	0
23/03/2018 00:00	0
09/05/2018 07:25	-20
20/06/2018 12:30	-50
12/07/2018 12:15	-40
24/07/2018 13:05	-35
06/08/2018 13:15	-30
04/09/2018 12:05	-20
04/10/2018 06:55	-20
24/10/2018 13:00	-50
31/10/2018 04:40	-50
09/11/2018 13:40	0
30/11/2018 00:00	0
12/06/2019 07:30	0
05/08/2019 09:55	-20
23/10/2019 13:15	-20
23/11/2019 13:30	-20
10/01/2020 00:00	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
