Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
11/07/1989 10:00	1	-223	3.59		PP	2	
18/08/1989 09:55	2	-226	3.47		PP	2	
01/09/1989 10:10	3	-226	3.12		PP	2	
27/09/1989 14:10	4	-225	3.31		PP	2	
12/10/1989 14:00	5	-224	3.81		PP	2	
26/10/1989 14:05	6	-231	2.5		PP	2	
17/11/1989 14:00	7	-225	3.63		PP	2	
25/01/1990 14:50	8	-220	4.67		PP	2	
23/02/1990 15:00	9	-138	60.5		SI	2	
28/03/1990 14:33	10	-212	6.05		PP	2	
26/04/1990 15:10	11	-145	48.3		SI	2	
22/05/1990 15:07	12	-196	13.5		SI	2	
19/06/1990 14:30	13	-214	5.95		PP	2	
14/08/1990 14:23	14	-232	1.94		PP	2	
30/08/1990 15:00	15	-234	1.79		PP	2	
21/09/1990 14:30	16	-233	1.82		PP	2	
04/10/1990 14:00	17	-229	2.66		PP	2	
18/10/1990 14:50	18	-233	1.94		PP	2	
15/11/1990 15:03	19	-195	15		PP	2	
20/02/1991 14:10	20	-88	88.5		SI	2	
12/03/1991 15:27	21	-173	31.8		SI	2	
11/04/1991 14:40	22	-204	11.2		PP	2	
16/05/1991 13:55	23	-205	10.3		PP	2	
12/06/1991 14:16	24	-221	4.43		PP	2	
10/07/1991 15:00	25	-225	3.79		PP	2	
07/08/1991 15:00	26	-235	1.79		PP	2	
23/08/1991 14:30	27	-236	1.56		PP	2	
05/09/1991 14:00	28	-238	1.39		PP	2	
20/09/1991 14:30	29	-237	1.47		PP	2	
09/10/1991 14:43	30	-227	3.15		PP	2	
21/11/1991 10:15	31	-204	11		PP	2	
13/12/1991 10:15	32	-217	6.3		PP	2	
14/01/1992 13:30	33	-210	8.65		PP	2	
10/02/1992 13:30	34	-211	7.75		PP	2	
03/03/1992 14:15	35	-220	4.84		PP	2	
10/04/1992 11:00	36	-176	28.1		SI	2	
13/05/1992 13:50	37	-220	4.77		PP	2	
16/06/1992 09:50	38	-102	89.5		SI	2	
09/07/1992 15:45	39	-83	110		SI	2	
20/08/1992 10:20	40	-226	3.54		PP	2	
17/09/1992 10:30	41	-230	2.73		PP	2	
09/10/1992 14:25	42	-8	201		SI	2	
19/11/1992 13:50	43	-68	107		SI	2	
23/11/1992 10:45	44	165	307		SI	3	
16/12/1992 14:20	45	-101	100		SI	2	
21/01/1993 14:30	46	-190	20.9		PP	2	
16/02/1993 10:10	47	-211	8.6		PP	2	
17/03/1993 13:45	48	-214	6.2		PP	2	
23/04/1993 10:35	49	-208	9.5		PP	2	
24/05/1993 10:45	50	-181	28.2		SI	2	
17/06/1993 14:00	51	-195	19.4		SI	2	
16/07/1993 13:40	52	-213	8.15		PP	2	
15/09/1993 13:30	53	-219	4.96		PP	2	
15/10/1993 13:30	54	-102	76.5		SI	2	
16/11/1993 10:09	55	-185	25.9		SI	2	
15/12/1993 10:50	56	-158	43.9		SI	2	
05/01/1994 11:00	57	114	257		SI	2	
21/02/1994 14:30	58	-59	112		SI	2	
17/03/1994 14:00	59	-149	47.4		SI	2	
14/04/1994 14:00	60	16	181		SI	2	
10/05/1994 10:30	61	-136	59		SI	2	
14/06/1994 14:00	62	-153	44.9		SI	2	
13/07/1994 14:20	63	-210	8.05		PP	2	
17/08/1994 09:35	64	-212	7.1		PP	2	
14/09/1994 13:40	65	-222	3.81		PP	2	
19/10/1994 13:30	66	-203	10.9		PP	2	
08/11/1994 06:40	67	123	273		SI	2	
16/12/1994 10:40	68	-153	42		SI	2	
11/01/1995 10:25	235	-60.2	108		AU		
20/01/1995 09:45	69	-32	133		SI	2	
14/02/1995 13:45	70	-106	79.6		SI	2	
23/03/1995 13:45	71	-70	91.6		SI	2	
29/03/1995 09:40	236	-134	54.4		AU		
26/04/1995 14:00	72	-170	35.2		SI	2	
17/05/1995 13:50	73	-168	34.6		SI	2	
23/06/1995 09:45	74	-209	8.42		PP	2	
12/07/1995 15:00	75	-211	8.03		PP	2	
24/07/1995 14:15	76	-216	5.76		PP	2	
25/07/1995 10:10	238	-221	4.05		AU		
13/09/1995 14:45	77	-220	4.48		PP	2	
17/10/1995 10:35	78	-221	4.32		PP	2	
21/11/1995 14:00	79	-211	8.18		PP	2	
19/12/1995 13:30	80	-179	27.7		SI	2	
23/01/1996 13:35	81	-127	68.3		SI	2	
24/01/1996 09:30	240	-140	55		AU		
20/02/1996 13:30	82	-46	136		SI	5	
19/03/1996 13:30	83	-170	35.7		SI	2	
20/03/1996 09:30	241	-173.5	35.5		AU		
15/04/1996 14:20	84	-188	20.4		SI	2	
14/05/1996 14:30	85	-189	19.5		SI	5	
19/06/1996 09:45	242	-212	7.74		AU		
20/06/1996 14:00	86	-215	5.82		PP	2	
09/07/1996 14:15	87	-211	7.14		PP	2	
13/08/1996 14:02	88	-217	5.58		PP	2	
21/08/1996 14:00	243	-218	4.98		AU		
11/09/1996 14:00	89	-225	3.09		PP	2	
14/10/1996 14:00	90	-218	4.94		PP	2	
05/11/1996 12:30	244	-220.5	4.47		AU		
19/03/1997 10:30	245	-195	13.3		AU		
09/04/1997 13:30	91	-205	9.52		PP	2	
22/04/1997 15:00	246	-211	7.39		AU		
13/05/1997 14:00	92	-197.5	13		PP	2	
11/06/1997 08:05	248	-213	6.76		AU		
18/06/1997 10:15	93	-215	6.03		PP	2	
10/07/1997 14:00	94	-209	8.05		PP	2	
20/08/1997 14:30	95	-225	3.44		PP	2	
16/09/1997 16:00	250	-213	6.76		AU		
18/09/1997 14:00	96	-218	4.91		PP	2	
15/10/1997 13:50	97	-221	4.03		PP	2	
17/11/1997 13:50	98	-194	15.2		PP	2	
09/12/1997 10:30	251	-195	13.7		AU		
15/12/1997 15:15	99	-196	12.5		PP	2	
14/01/1998 14:00	100	-147	43.5		SI		
21/01/1998 18:00	253	9	159		AU		
17/03/1998 10:30	254	-162	32.9		SI		
24/03/1998 13:45	102	-190	17.6		PP	2	
16/04/1998 15:00	103	-178	24.2		SI		
29/04/1998 13:30	256	157	292		PP		
30/04/1998 09:50	104	186	353		SI		
25/05/1998 15:00	105	-200	12.5		SI		
19/06/1998 13:40	106	-194	14.5		PP		
08/07/1998 14:15	107	-216	5.95		PP	2	
22/07/1998 15:00	258	-218	5.22		PP		
20/08/1998 14:30	108	-226	2.9		PP	2	
27/08/1998 16:15	259	-225	3.48		PP		
18/09/1998 14:50	109	-222	3.97		PP	2	
15/10/1998 17:00	260	-217	5.05		PP		
19/10/1998 14:45	110	-218	5.21		PP	2	
18/11/1998 14:30	111	-184	22.6		SI	2	
18/12/1998 10:50	112	-158	44.1		SI	2	
13/01/1999 14:30	113	-187.5	20		SI	2	
04/03/1999 14:00	114	-79	95.5		SI	2	
15/04/1999 14:00	115	-172	32.8		SI	2	
19/05/1999 14:05	116	-193	18.5		SI	2	
10/06/1999 09:10	264	-201	13.7		SP		
16/06/1999 14:30	117	-212	7.31		PP	2	
12/07/1999 14:30	118	-215	6.16		PP	2	
23/08/1999 14:30	119	-217	5.7		PP	2	
25/08/1999 00:00	265	-218	5.22		AU		
21/09/1999 13:30	120	-212	7.5		PP	2	
30/09/1999 16:15	266	-209.5	8.3		AU		
