Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
07/12/1988 00:00	132	13.5	1.79		PP		
03/01/1989 00:00	133	3.5	0.909		PP		
31/01/1989 00:00	134	2.2	0.746		PP		
28/02/1989 00:00	135	12.7	1.45		PP		
29/03/1989 00:00	136	6.7	1.03		PP		
25/04/1989 00:00	137	13.2	1.7		PP		
22/05/1989 00:00	138	5.2	0.977		PP		
19/06/1989 00:00	139	-1.5	0.391		PP		
30/06/1989 00:00	140	-6	0.199		PP		
18/07/1989 00:00	141	-5.2	0.23		PP		
08/08/1989 00:00	142	-8	0.155		PP		
14/08/1989 00:00	143	-9	0.158		PP		
11/09/1989 00:00	144	-9	0.15		PP		
10/10/1989 00:00	145	-9	0.139		PP		
06/11/1989 00:00	146	-6.2	0.23		PP		
17/11/1989 00:00	147	-6.5	0.232		PP		
06/12/1989 00:00	148	-9	0.214		PP		
04/01/1990 00:00	149	-4.2	0.363		PP		
31/01/1990 00:00	150	-3.2	0.418		PP		
26/02/1990 00:00	151	23.2	2.88		PP		
23/03/1990 00:00	152	9.2	1.28		PP		
24/04/1990 00:00	153	7.2	0.941		PP		
22/05/1990 00:00	154	3.2	0.526		PP		
06/06/1990 00:00	155	0.5	0.355		PP		
19/06/1990 00:00	156	1.8	0.411		PP		
19/07/1990 00:00	157	-2.5	0.246		PP		
01/08/1990 00:00	158	-7	0.129		PP		
16/08/1990 00:00	159	-8	0.129		PP		
11/09/1990 00:00	160	-8	0.104		PP		
08/10/1990 00:00	161	-5.8	0.172		PP		
06/11/1990 00:00	162	6.5	0.736		PP		
05/12/1990 00:00	163	20	1.74		PP		
03/01/1991 00:00	164	43	4.38		PP		
29/01/1991 00:00	165	22.5	2.34		PP		
25/02/1991 00:00	166	39.5	4.84		PP		
26/03/1991 00:00	167	22.5	2.08		PP		
23/04/1991 00:00	168	13.2	0.947		PP		
21/05/1991 00:00	169	14.5	0.694		PP		
18/06/1991 00:00	170	12.5	0.501		PP		
16/07/1991 00:00	171	7	0.309		PP		
13/08/1991 00:00	172	-2.5	0.172		PP		
11/09/1991 00:00	173	-8.5	0.087		PP		
08/10/1991 00:00	174	-6.5	0.126		PP		
05/11/1991 00:00	175	-5.5	0.147		PP		
03/12/1991 00:00	176	10	0.888		PP		
30/12/1991 00:00	177	7.6	0.828		PP		
28/01/1992 00:00	178	7.2	0.867		PP		
25/02/1992 00:00	179	4.5	0.865		PP		
