Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
01/04/1982 13:00	1	-84	26.9		AU		
18/05/1982 00:00	2	-106	5.88		PP		
15/06/1982 13:30	3	-104	10.6		AU		
21/07/1982 14:40	4	90	1.94		PP		
31/08/1982 13:30	5	-97	19.6		AU		
21/09/1982 13:00	6		3.28		PP		
26/10/1982 10:25	7	-53	51.7		SP		
01/03/1983 15:15	8	-42	66.9		SP		
22/06/1983 10:00	9	-94	15.2		PP		
19/07/1983 13:30	10	80	9.72		PP		
13/09/1983 11:40	11	79	9.48		PP		
04/10/1983 13:00	12	88	17.9		PP		
18/10/1983 11:25	13	80	9.69		PP		
22/11/1983 13:15	14	60	2.98		PP		
07/03/1984 09:40	15	78	9.05		PP		
10/07/1984 14:05	16	78	12.5		PP		
28/08/1984 11:55	17	72	6.85		PP		
02/10/1984 11:35	18	82	9.56		PP		
16/10/1984 13:10	19	82	13		PP		
13/11/1984 12:45	20	119	60.4		SP		
27/11/1984 12:20	21	110	44.3		SP		
05/02/1985 13:20	22	110	52.2		SP		
29/05/1985 13:20	23	116	58.6		SP		
09/07/1985 15:40	24	71	4.15		PP		
16/07/1985 15:10	25	81	11.4		PP		
29/08/1985 07:30	26	87	13.7		PP		
24/09/1985 14:50	27	75	7.21		PP		
03/12/1985 14:30	28	81	8.87		PP		
17/12/1985 13:05	29	75	6.05		PP		
21/05/1986 12:45	30	107	39.3		PP		
23/07/1986 13:23	31	81	9.11		PP		
26/08/1986 14:10	32	81	9.94		PP		
16/09/1986 14:00	33	75.5	8.25		PP		
08/10/1986 09:25	34	75	8.69		PP		
23/10/1986 12:50	35	67	4.23		PP		
17/11/1986 15:25	36	128	82.2		SP		
03/02/1987 13:30	37	95	39.5		AU		
10/02/1987 09:00	38	120	66.9		SP		
13/02/1987 13:30	39	142.5	77.5		SP		
10/03/1987 08:15	40	104	30.4		SP		
14/04/1987 09:00	41	120	45.3		SP		
19/05/1987 07:00	42	87	14.9		PP		
16/07/1987 14:15	43	73	7.76		SP		
03/09/1987 07:45	44	76	11.1		PP		
24/09/1987 13:00	45	77	10.7		PP		
11/10/1987 03:15	46	172.5	132		SP		
16/03/1988 16:00	47	135	71		SP		
09/06/1988 13:30	48	94	21.4		PP		
19/07/1988 14:00	49	76	9.95		PP		
27/09/1988 11:45	50	58	3		PP		
10/11/1988 09:20	51	65	3.7		PP		
21/12/1988 14:00	52	83	14.1		PP		
25/04/1989 08:50	53	101	29.9		PP		
30/05/1989 14:00	54	91	15.5		PP		
01/08/1989 08:25	55	84	11.4		PP		
29/08/1989 08:30	56	77	10.1		PP		
19/10/1989 07:45	57	80	12		PP		
28/03/1990 14:45	58	79	12.6		PP		
24/04/1990 14:15	59	85	15.8		PP		
12/06/1990 14:00	60	84	15		PP		
26/07/1990 08:30	61	80	10.7		PP		
05/09/1990 13:00	62	76	10.1		PP		
16/10/1990 14:10	63	70	6.92		PP		
27/02/1991 17:45	64	86.5	16.7		SP		
08/03/1991 13:50	65	231	272		SP		
13/06/1991 07:30	66	63	4.15		SP		
10/07/1991 08:40	67	76.5	12.3		PP		
29/08/1991 08:30	68	75	8.3		PP		
09/10/1991 13:30	69	71.5	7.73		SP		
21/11/1991 13:00	70	81	12		PP		
14/01/1992 09:50	71	66	4.88		PP		
12/02/1992 12:25	72	84	16.1		PP		
25/03/1992 13:15	73	68	5.62		PP		
23/04/1992 08:40	74	92.5	20.4		PP		
05/08/1992 12:15	75	85	14.2		PP		
25/08/1992 07:55	76	73	7.06		PP		
17/09/1992 10:00	77	73	6.9		PP		
09/10/1992 06:25	78	100	27.7		PP		
12/02/1993 09:20	79	69	5.25		PP		
31/03/1993 10:05	80	68	4.69		PP		
16/04/1993 08:40	81	84	10.9		PP		
27/05/1993 11:30	82	121	45.1		SP		
17/06/1993 07:10	83	96	15.8		PP		
30/06/1993 15:45	84	90	11.6		PP		
12/08/1993 12:20	85	75	6.45		PP		
18/08/1993 13:25	86	73	6.75		PP		
26/08/1993 12:00	87	80	11.7		PP		
09/09/1993 13:20	88	71	6.98		PP		
09/11/1993 10:30	89	116	48.8		SP		
08/02/1994 15:15	90	134	67		SP		
27/04/1994 07:30	91	130	58		SP		
02/06/1994 07:00	92	101	23.9		PP		
21/06/1994 09:05	93	88	11.2		PP		
07/07/1994 13:00	94	82	8.33		PP		
26/07/1994 13:10	95	85	12.2		PP		
01/09/1994 07:40	96	77	9.97		PP		
13/10/1994 08:20	97	85	13.8		PP		
21/10/1994 05:50	98	262	304		SP		
05/11/1994 13:30	99	407	881		SP		
20/12/1994 10:30	100	102	16.6		PP		
14/02/1995 08:00	101	123	31.4		SP		
16/03/1995 09:30	102	111	22.7		PP		
16/03/1995 09:35	103	108	19.6		PP		
16/05/1995 11:10	104	106	18.3		PP		
13/06/1995 14:15	105	86	9.5		PP		
26/07/1995 14:10	106	95	14.2		PP		
09/11/1995 09:00	107	79	6.18		PP		
13/12/1995 08:30	108	125	32.6		PP		
18/01/1996 08:00	109	162	85.2		SP		
14/02/1996 10:15	110	131	40.7		SP		
14/03/1996 10:45	111	112	22.9		PP		
11/04/1996 08:15	112	115	25.1		PP		
02/05/1996 12:35	113	123	30		PP		
06/06/1996 08:00	114	109	20.1		PP		
