Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
03/09/1998 10:10	1		0.433		PP		
01/10/1998 10:50	2		0.505		PP		
05/11/1998 10:40	3		0.639		PP		
26/11/1998 10:50	4		0.593		PP		
19/01/1999 13:45	5		0.908		PP		
18/02/1999 10:20	6		1.11		PP		
18/03/1999 13:45	7		1.24		PP		
15/04/1999 10:30	8		1.68		PP		
20/05/1999 14:00	9		1.09		PP		
14/06/1999 13:25	10		0.822		PP		
08/07/1999 15:15	11		0.745		PP		
04/08/1999 14:20	12		0.412		AU		
07/09/1999 14:00	13		0.546		PP		
04/10/1999 13:45	14		0.96		PP		
04/11/1999 12:00	15		1.55		PP		
07/12/1999 15:15	16		1.23		PP		
21/01/2000 14:15	17		1.47		PP		
17/02/2000 14:55	18		1.65		PP		
16/03/2000 13:30	19		1.54		PP		
12/04/2000 14:20	20		0		PP		
12/05/2000 10:15	21		1.6		PP		
08/06/2000 14:50	22		1.45		PP		
07/07/2000 12:15	23		0.883		PP		
03/08/2000 15:00	24		0.818		PP		
14/09/2000 15:00	25		0.951		PP		
25/10/2000 14:40	26		1.08		PP		
25/10/2000 14:45	27		1.06		PP		
30/11/2000 14:00	28		1.99		PP		
04/01/2001 12:10	29		2.34		PP		
01/02/2001 13:45	30		2.14		PP		
07/03/2001 13:45	31		1.99		PP		
10/04/2001 14:20	32		2.72		PP		
10/05/2001 13:20	33		2.35		PP		
06/06/2001 14:20	34		1.73		PP		
02/07/2001 14:00	35		1.32		PP		
06/08/2001 14:20	36		1.46		PP		
18/09/2001 13:45	37		1.67		PP		
24/10/2001 15:10	38		2.45		PP		
28/11/2001 15:05	39		1.75		PP		
27/12/2001 14:15	40		1.61		PP		
23/01/2002 13:20	41		1.82		PP		
28/02/2002 14:55	42		2.39		PP		
10/04/2002 13:40	43		1.94		PP		
10/05/2002 14:00	44		1.6		PP		
12/06/2002 14:00	45		1.5		PP		
17/07/2002 15:00	46		1.16		PP		
22/08/2002 13:30	47		0.9		PP		
01/10/2002 13:15	48		0.982		PP		
07/11/2002 14:30	49		2.07		PP		
12/12/2002 11:15	50		1.78		PP		
30/01/2003 14:10	51		2.52		PP		
06/03/2003 13:35	52		1.98		PP		
10/04/2003 14:00	53		1.52		PP		
16/05/2003 13:25	54		1.43		PP		
03/07/2003 13:00	55		1.47		PP		
05/08/2003 13:40	56		0.794		PP		
01/09/2003 13:50	57		0.823		PP		
07/10/2003 11:10	58	64.5	0.867		PP		
14/11/2003 11:20	59		0.984		PP		
15/12/2003 14:00	60		1.14		PP		
28/01/2004 13:35	61		2.55		PP		
26/02/2004 12:20	62		1.55		PP		
30/03/2004 13:40	63		1.41		PP		
06/05/2004 14:30	64		1.34		PP		
10/06/2004 13:45	65		0.831		PP		
08/07/2004 12:10	66		0.651		PP		
11/08/2004 14:10	67		0.536		PP		
16/09/2004 13:30	68		0.657		PP		
23/09/2004 10:30	69		0.92		PP		
23/09/2004 10:35	70		0.877		PP		
23/09/2004 10:40	71		0.912		PP		
23/09/2004 11:15	72		0.864		PP		
23/09/2004 11:20	73		0.796		PP		
23/09/2004 11:25	74		0.805		PP		
21/10/2004 15:10	75		1.03		PP		
07/12/2004 14:00	76		0.859		PP		
12/01/2005 13:50	77		1.01		PP		
22/02/2005 13:55	78		1.13		PP		
01/04/2005 13:50	79		1.07		PP		
26/04/2005 14:00	80		1.04		PP		
13/06/2005 14:00	81		0.56		AP		
12/07/2005 13:35	82		0.562		PP		
09/08/2005 13:55	83		0.493		PP		
06/09/2005 13:45	84		0.504		PP		
11/10/2005 15:23	85		0.512		AP		
29/11/2005 13:45	86		0.668		PP		
05/01/2006 11:30	87		0.733		PP		
07/02/2006 13:30	88		0.697		PP		
09/03/2006 13:50	89		1.22		PP		
10/04/2006 14:00	90		0.904		QD		
18/05/2006 14:00	91		0.605		PP		
26/06/2006 14:20	92		0.457		PP		
03/08/2006 11:50	93		0.332		PP		
05/09/2006 13:40	94	29	0.383		PP		
09/10/2006 10:30	95	30.9	0.475		PP		
21/11/2006 14:15	96	34.8	0.577		PP		
27/12/2006 10:45	97	32.7	0.576		PP		
30/01/2007 12:10	98	34.8	0.663		AP		
06/03/2007 14:00	99	42.5	1.02		PP		
29/03/2007 13:50	100	37.8	0.785		PP		
19/04/2007 14:30	101	35.3	0.624		PP		
24/05/2007 15:20	102	32.7	0.523		PP		
28/06/2007 15:30	103	34.7	0.572		AP		
09/08/2007 10:30	105	32.8	0.502		PP		
20/09/2007 16:20	107	30.7	0.402		PP		
23/10/2007 13:55	108	33.9	0.502		PP		
06/12/2007 13:40	109	36.8	0.675		AP		
07/02/2008 13:10	110	51	1.58		AP		
07/02/2008 13:18	111	52.4	1.74		AP		
20/03/2008 13:20	112	44.9	1.12		AP		
17/04/2008 13:45	113	53.2	1.09	-9.3	PP		
06/05/2008 13:55	114	58.5	0.939	-17.1	AP		
19/05/2008 12:10	115	59.2	0.892	-18.5	AP		
28/05/2008 13:10	117	66.2	1.07	-22.7	PP		
24/06/2008 12:15	118	49.5	0.699	-12.5	AP		
09/07/2008 13:45	119	46.2	0.643	-9.7	AP		
24/07/2008 07:55	120	39.6	0.471	-7	PP		
26/08/2008 12:01	121	37.4	0.549	-3.1	PP		
30/09/2008 11:40	122	37.2	0.59	-2.1	AP		
20/11/2008 11:00	123	40	0.798	-0.8	AP		
12/02/2009 11:00	124	47	1.13	-2	AP		
23/03/2009 13:40	125	44.5	0.905	-3.9	PP		
28/04/2009 12:45	126	45.4	0.8	-6.3	AP		
14/05/2009 12:45	127	58.2	1.19	-13.2	AP		
10/06/2009 12:30	128	62.7	1.01	-20	AP		
03/07/2009 08:45	129	51	0.593	-17.1	AP		
08/07/2009 12:00	130	50.7	0.537	-15.6	AP		
24/07/2009 08:20	131	45.5	0.617	-9.7	AP		
11/08/2009 14:30	132	37.5	0.546	-3.4	AP		
27/08/2009 12:30	133	35	0.498	-2	AP		
22/09/2009 11:50	134	33.7	0.518		AP		
01/12/2009 12:35	135	36.2	0.723		AP		
04/02/2010 15:25	136	41.2	1.02		AP		
18/03/2010 13:15	137	44.9	1.23		AP		
22/04/2010 11:50	138	41.7	0.912	-2.2	AP		
27/05/2010 12:23	139	40.1	0.628	-5.8	AP		
07/06/2010 12:20	140	41	0.604	-6.7	AP		
29/06/2010 15:10	141	38.3	0.549	-5.5	AP		
09/07/2010 09:55	142	37	0.655	-2	AP		
26/07/2010 10:14	144	34.3	0.585	-0.6	AP		
17/08/2010 12:25	145	32.8	0.534		AP		
21/09/2010 09:45	146	33.4	0.591		AP		
02/12/2010 13:20	147	38.4	0.874		AP		
09/02/2011 12:38	148	43	1.2		AP		
24/03/2011 13:30	149	41.2	0.963	-1.1	AP		
24/03/2011 13:31	150	41.2	0.849	-1.1	PP	2	
20/04/2011 09:32	151	37.5	0.678	-2.2	AP		
19/05/2011 09:40	152	35.5	0.483	-3.7	AP		
07/06/2011 08:35	153	37.9	0.465	-6.7	AP		
21/06/2011 14:15	154	36.2	0.515	-3.6	AP		
13/07/2011 09:48	155	33.5	0.471	-2.2	AP		
09/08/2011 08:50	156	36.5	0.61	-2.1	AP		
31/08/2011 09:25	157	34.3	0.523	-1.7	PP		
11/10/2011 07:55	158	33.7	0.572		AP		
23/11/2011 10:35	159	34.7	0.65		AP		
18/01/2012 14:55	160	44.7	1.07	-2.9	AP		
07/03/2012 10:23	161	43.8	0.829	-5.8	AP		
30/03/2012 13:30	162	46.8	0.796	-9.7	AP		
12/04/2012 13:21	163	49.6	0.733	-13.2	AP		
06/06/2012 09:40	164	57.8	0.677	-22.5	AP		
02/07/2012 14:20	165	45.4	0.591	-11.6	AP		
31/07/2012 09:24	166	41.5	0.723	-5.4	AP		
