Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
01/12/1998 10:05	1	48.8	1.67		PP		
22/12/1998 10:10	2	106.7	8.11		SI		
14/01/1999 11:05	3	116.1	10.4		SI		
09/03/1999 14:35	4	149.5	19.2		SI		
05/05/1999 10:10	5	58.2	2.47		PP		
03/06/1999 09:55	6	57.7	2.22		PP		
24/06/1999 10:30	7	46	1.2		PP		
27/07/1999 09:45	8	41	0.824		PP		
24/08/1999 09:55	9	43	1.02		PP		
21/10/1999 10:20	10	48.6	1.61		PP		
23/11/1999 09:45	11	55.2	2.3		PP		
29/12/1999 10:50	12	165	25.6		SI		
27/01/2000 10:10	13	63.9	2.47		PP		
23/02/2000 10:10	14	81.9	4.77		PP		
23/03/2000 10:05	15	65.8	3.1		PP		
15/06/2000 14:40	16	57.2	2.1		PP		
11/07/2000 10:20	17	58	2.06		PP		
07/08/2000 10:01	18	48.5	1.37		PP		
05/10/2000 10:10	19	50	1.79		PP		
14/11/2000 10:20	20	95.2	7.26		SI		
14/12/2000 14:10	21	134.5	13.4		PP		
18/01/2001 15:05	22	76.5	4.51		PP		
18/04/2001 09:30	23	79.1	4.75		PP		
12/06/2001 10:30	24	62.5	2.7		PP		
11/07/2001 09:50	25	66.8	2.71		PP		
10/09/2001 10:25	26	58.5	2.05		PP		
14/11/2001 10:05	27	59	2.55		PP		
11/12/2001 10:20	28	56.8	2.38		PP		
15/01/2002 09:25	29	60.1	2.79		PP		
26/02/2002 09:45	30	77.2	4.71		PP		
02/05/2002 11:10	31	57.5	2.37		PP		
09/07/2002 09:55	32	42	0.908		PP		
13/08/2002 09:25	33	48.7	1.48		PP		
22/10/2002 10:00	34	56.4	2.12		PP		
29/11/2002 10:15	35	73	4.01		PP		
06/01/2003 15:05	36	150.5	16.5		SI		
17/02/2003 10:20	37	67.7	3.11		PP		
24/03/2003 10:45	38	63.9	2.84		PP		
12/06/2003 11:00	39	58.3	1.58	-8	PP		
16/07/2003 09:50	40	51.8	1.21	-5.2	PP		
05/08/2003 09:45	41	44.5	0.989	-1.3	PP		
15/09/2003 16:00	42	45.3	1.19		PP		
22/10/2003 09:55	43	49.7	1.55		PP		
25/11/2003 10:30	44	50.1	1.7		PP		
09/01/2004 10:15	45	67.3	3.37		PP		
15/01/2004 13:40	46	165.5	25.6		SI		
16/02/2004 10:00	47	60.8	2.77		PP		
17/03/2004 09:55	48	66	3.33		PP		
28/05/2004 10:20	49	49.3	1.29	-2.4	PP		
22/06/2004 10:50	50	42	0.728	-2.8	PP		
27/07/2004 10:20	51	39.9	0.681	-1.2	PP		
25/08/2004 15:15	52	44.5	1.05		PP		
31/08/2004 10:20	53	44.2	1.12		PP		
23/11/2004 10:30	54	46.3	1.31		PP		
01/02/2005 10:40	55	53.2	1.97		PP		
17/02/2005 15:00	56	52.8	1.91		AP		
17/02/2005 15:50	57	52.8	1.97		PP		
14/04/2005 10:25	58	50.5	1.55		PP		
17/05/2005 10:31	59	47	1.14		AP		
20/06/2005 10:20	60	33.7	0.38		PP		
28/07/2005 11:10	61	36.2	0.513		PP		
23/08/2005 10:40	62	35.8	0.522		PP		
06/09/2005 16:00	63	37.2	0.605		PP		
27/09/2005 10:30	64	36.8	0.578		PP		
08/11/2005 11:05	65	39.3	0.669		PP		
17/01/2006 10:20	66	43.7	1.05		PP		
22/02/2006 10:30	67	52.9	2.12		AP		
22/03/2006 10:45	68	48.8	1.63		AP		
24/04/2006 10:25	69	46.3	1.23		PP		
29/05/2006 09:20	70	43.4	0.693	-4.5	PP		
12/06/2006 11:30	71	35	0.393	-0.6	PP		
05/07/2006 16:00	72	33.8	0.338		PP		
08/08/2006 09:30	73	32.2	0.304		PP		
06/09/2006 10:40	74	34.5	0.403		PP		
18/10/2006 10:10	75	36.9	0.584		PP		
07/12/2006 09:50	76	52	1.48	-4	PP		
15/01/2007 10:30	77	50.7	1.45	-3	PP		
20/02/2007 10:30	78	53.9	1.99	-1.6	PP		
27/04/2007 09:20	79	38.8	0.723		PP		
05/06/2007 10:15	80	41.6	0.813		PP		
11/07/2007 10:30	81	46.2	0.903	-4.2	PP		
31/07/2007 10:17	82	40	0.646	-3.5	PP		
08/08/2007 11:05	83	40.7	0.615	-3.2	PP		
30/08/2007 15:55	84	42.5	0.77	-2.3	PI		
27/09/2007 14:35	85	40.1	0.701	-1.1	PP		
17/10/2007 10:25	86	40.1	0.735	-0.3	PP		
13/12/2007 11:25	87	63	3.45		AP		
15/01/2008 10:05	88	63.1	3.57		AP		
