Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
24/11/1966 00:00	0.1	25	12.5		AU		
08/03/1967 10:30	1	76	44.1		AU		
26/04/1967 13:40	2	15	9.17		AU		
21/06/1967 08:00	3	-12	2.95		AU		
11/07/1967 16:45	4	-17	2.38		AU		
23/08/1967 00:00	5	-22	2.12		AU		
08/11/1967 14:00	6	90.5	53.2		AU		
10/01/1968 00:00	7	217	204		AU		
15/05/1968 11:10	8	54	25.9		AU		
17/07/1968 14:15	9	-7	5.1		AU		
28/08/1968 08:30	10	-20	2.26		AU		
12/03/1969 00:00	11	73.5	40.5		AU		
11/06/1969 18:00	12	30	17.3		AU		
31/07/1969 10:15	13	-22	3.95		AU		
08/10/1969 18:30	14	-30.5	2.34		AU		
26/11/1969 17:30	15	41	24		AU		
14/01/1970 10:45	16	121.5	78.5		AU		
25/03/1970 11:00	17	115	71.4		AU		
07/07/1970 17:50	18	-20	5.37		AU		
19/08/1970 08:00	19	-32	3.33		AU		
18/11/1970 17:00	20	0	7.74		AU		
21/04/1971 15:30	21	-15	6.85		AU		
07/07/1971 14:15	22	-37	2.71		AU		
04/08/1971 11:40	23	-49.5	1.39		AU		
21/09/1971 14:00	24	-52	2.05		AU		
02/12/1971 00:00	25	24.5	17.2		AU		
16/02/1972 15:00	26	121	78.3		AU		
20/04/1972 09:00	27	36.5	25.1		AU		
01/06/1972 09:45	28	-34	4.54		AU		
03/08/1972 09:00	29	-49	2.23		AU		
28/09/1972 09:30	30	-55	1.4		AU		
18/10/1972 11:10	31	-47	2.73		AU		
15/11/1972 09:15	32	53.5	30.8		AU		
09/01/1973 16:00	33	-6.5	10.7		AU		
28/03/1973 10:15	34	-15	7.64		AU		
16/05/1973 14:00	35	-24	6.9		AU		
20/06/1973 00:00	36	-40	3.59		AU		
18/07/1973 18:00	37	-41	2.82		AU		
21/08/1973 14:00	38	-42	1.22		AU		
12/09/1973 16:25	39	-62	0.541		AU		
20/03/1974 15:00	40	99	70.5		AU		
04/07/1974 07:30	41	-35	3.66		AU		
07/08/1974 11:00	42	-40	1.46		AU		
25/09/1974 13:50	43	1	7.83		AU		
29/10/1974 00:00	44	83	48.4		AU		
29/01/1975 13:45	45	175	153		AU		
02/04/1975 00:00	46	44	28.7		AU		
06/08/1975 14:30	48	-52	0.641		AU		
14/10/1975 00:00	50	-10	8.34		AU		
28/04/1976 00:00	51	-17	6.73		AU		
10/06/1976 00:00	52	-47	1.27		AU		
22/07/1976 00:00	53	-53	0.711		AU		
16/09/1976 09:40	54	-12.5	6.11		AU		
01/12/1976 09:45	55	74	47.2		AU		
26/01/1977 00:00	56	188	183		AU		
26/04/1977 00:00	57	50	27.6		AU		
22/06/1977 00:00	58	97	61		AU		
31/08/1977 00:00	59	90	52.9		AU		
16/09/1977 00:00	60	5	9.4		AU		
30/11/1977 00:00	61	67	39.4		AU		
12/04/1978 00:00	62	50	34		AU		
28/06/1978 00:00	63	-3	5.61		AU		
09/08/1978 00:00	64	-4	4.22		AU		
06/09/1978 00:00	65	-24.5	1.89		AU		
06/12/1978 00:00	66	-16	2.06		AU		
21/03/1979 00:00	67	100	65.7		AU		
30/05/1979 00:00	68	114	76.2		AU		
20/07/1979 00:00	69	-14	3		AU		
05/09/1979 00:00	70	-16	2.64		AU		
23/10/1979 00:00	71	30	20.1		AU		
29/01/1980 00:00	72	95.5	59.5		AU		
03/06/1980 00:00	73	33	17.2		AU		
05/08/1980 00:00	74	-6	4.39		AU		
08/10/1980 00:00	75	-9	2.88		AU		
17/02/1981 00:00	76	42	23.3		AU		
29/04/1981 18:00	77	16	11.2		AU		
22/07/1981 00:00	78	4	6.06		AU		
14/10/1981 00:00	79	83	46.8		AU		
23/03/1982 00:00	80	101	57		AU		
23/06/1982 00:00	81	-1	3.57		AU		
13/08/1982 09:00	82	-8	2.28		AU		
13/10/1982 16:35	83	57.5	20.7		AU		
29/06/1983 08:40	84	15	5.42		AU		
03/08/1983 09:30	85	-16	0.966		AU		
22/09/1983 19:00	86	10	5.19		AU		
12/10/1983 09:00	87	-6.5	2.54		AU		
27/03/1984 16:10	88	40	11.9		AU		
11/04/1984 16:30	89	46.5	15.4		AU		
16/05/1984 13:10	90	14	5.55		AU		
07/08/1984 17:15	91	1	4.02		AU		
12/09/1984 10:20	92	10	5.55		AU		
15/06/1985 11:10	93	29	10.3		AU		
01/08/1985 09:40	94	-9.5	2.55		AU		
02/10/1985 09:05	95	-21	0.906		AU		
20/11/1985 11:10	96	-10	2.53		AU		
29/07/1986 17:15	97	-18	1.5		AU		
10/09/1986 15:35	98	-20	1.16		AU		
23/09/1986 13:10	99	11	6.97		AU		
05/11/1986 16:30	100	18.5	10.5		AU		
23/04/1987 00:00	101	34	15.8		AU		
03/06/1987 11:00	102	13	8.05		AU		
26/08/1987 08:00	103	20	8.28		AU		
22/09/1987 15:50	104	-12	2.79		AU		
19/07/1988 17:10	105	2	5.08		AU		
02/08/1988 18:05	106	-7	3.42		AU		
30/08/1988 15:50	107	-16	1.18		AU		
14/09/1988 16:35	108	-16	1.99		AU		
09/11/1988 09:00	109	3	5.55		AU		
31/01/1989 17:15	110	23	10.1		AU		
23/04/1989 12:00	110.5	34	15.8		AU		
05/07/1989 11:20	111	-10	3.19		AU		
10/08/1989 10:55	112	-20	1.52		AU		
30/08/1989 14:30	113	-26	1.13		AU		
27/09/1989 09:05	114	-16.5	1.6		AU		
24/10/1989 17:00	115	-16	1.78		AU		
04/07/1990 08:40	116	32	10.3		AU		
24/07/1990 19:05	117	3	2.49		AU		
04/09/1990 17:50	118	1	2.12		AU		
18/09/1990 16:15	119	-4	1.17		AU		
02/04/1991 00:00	120	36.5	18.6		AU		
17/04/1991 00:00	121	16	8.07		AU		
18/06/1991 15:45	122	7	3.1		AU		
31/07/1991 14:40	123	-5.5	1.56		AU		
10/09/1991 16:45	124	-12	0.7		AU		
05/11/1991 16:30	125	37	19.5		AU		
22/01/1992 09:20	126	30.5	16.5		AU		
24/06/1992 11:45	127	7	5.25		AU		
09/09/1992 10:45	128	-3	2.04		AU		
24/03/1993 09:50	129	15	8.85		AU		
27/04/1993 19:00	130	32.5	15		AU		
12/05/1993 15:10	131	11	6.77		AU		
15/06/1993 17:05	132	22.5	12.1		AU		
21/07/1993 11:45	133	0.5	3.98		AU		
10/08/1993 10:10	134	-7	1.72		AU		
16/09/1993 11:00	135	1	3.95		AU		
31/05/1994 17:30	136	45	15.1		AU		
20/07/1994 11:30	137	32	9.32		AU		
31/08/1994 17:00	138	13	2.97		AU		
17/09/1996 17:00	139	-41	1.87		AU		
05/12/1996 16:00	140	71	73.1		AU		
17/12/1996 17:15	141	22	27		AU		
12/02/1997 08:15	142	8	16.9		AU		
26/03/1997 11:00	143	-8	11.2		AU		
16/04/1997 14:45	144	-23	4.6		AU		
14/05/1997 11:30	145	4.5	16.4		AU		
13/08/1997 08:30	146	-30	2.84		AU		
01/09/1997 16:10	147	-23.5	4.7		AU		
26/11/1997 11:00	148	0	14.4		AU		
18/02/1998 17:00	149	-5.5	12.2		SI		
21/04/1998 15:50	150	79.5	80.5		SP		
23/04/1998 09:00	151	56.5	56.9		SP		
