Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
23/04/1992 00:00	1	24	26		AU		
05/06/1992 14:40	2	33.5	33.8		AU		
18/08/1992 10:45	3	-2	12.7		AU		
21/10/1992 14:30	4	49	65.3		AU		
12/11/1992 10:00	5	50	64.6		AU		
24/11/1992 15:30	6	291.5	519		AU		
03/02/1993 11:10	7	35	47.6		AU		
17/02/1993 14:00	8	26	35		AU		
07/04/1993 11:10	9	32.5	45.7		AU		
11/05/1993 10:00	10	36	50.9		AU		
24/06/1993 14:15	11	42	77.5		AU		
21/07/1993 10:00	12	12	15.3		AU		
25/08/1993 16:25	13	0.3	7.78		AU		
30/09/1993 14:00	14	95	157		AU		
18/11/1993 14:45	15	43.5	65.4		AU		
29/12/1993 09:05	16	170	290		AU		
17/02/1994 11:10	17	176	283		AU		
16/03/1994 16:50	18	65	128		AU		
19/05/1994 14:15	19	82	135		AU		
28/06/1994 11:00	20	37.5	46.6		AU		
24/08/1994 14:00	21	11.5	13.8		AU		
08/11/1994 19:00	22	263	407		AU		
11/01/1995 13:35	23	145	230		AU		
29/03/1995 18:25	24	106	172		AU		
15/06/1995 13:00	25	28.5	47.1		AU		
26/07/1995 14:00	26	9	14.4		AU		
25/01/1996 09:00	27	95	161		AU		
20/03/1996 11:30	28	52	87.7		AU		
18/06/1996 10:30	30	14	18.2		AU		
18/06/1996 11:00	29	14	17.2		AU		
20/08/1996 16:00	31	6	10		AU		
06/11/1996 08:30	32	12.5	13.8		AU		
02/12/1996 16:00	33	192	285		AU		
20/03/1997 14:00	34	43	51.8		AU		
23/04/1997 14:30	35	21	21.3		AU		
28/05/1997 10:00	36	25	25		AU		
09/07/1997 10:30	37	30	32		AU		
18/09/1997 15:30	38	10	12.5		AU		
11/12/1997 09:40	39	35	42.7		AU		
07/01/1998 17:15	40	130	205		AU		
22/01/1998 05:00	41	241	349		AU		
18/03/1998 10:50	42	54	79.8		SI		
23/04/1998 10:30	43	115	168		SI		
