Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
22/11/2007 14:45	135	85	13		AP		
09/01/2008 09:30	136	102.5	20.1		AU		
05/02/2008 14:15	137	76	9.97		AP		
27/03/2008 09:20	138	62.5	6.11		AP		
17/06/2008 12:50	139	98	18.1		AP		
08/07/2008 13:30	140	59	4.94		AP		
16/09/2008 14:30	141	63	6.01		AP		
09/10/2008 08:30	142	80	11.3		AP		
18/12/2008 14:10	143	109	20.7		AP		
20/01/2009 14:55	144	74	8.7		AP		
12/02/2009 13:50	145	119	26		AP		
19/03/2009 14:00	146	130	30.5		AP		
06/05/2009 13:30	147	93	14		AP		
04/06/2009 14:00	148	53.5	3.35		AU		
01/07/2009 13:50	149	61	4.93		AP		
18/08/2009 13:30	150	89	12.7		AP		
09/09/2009 14:00	151	78.5	9.68		AP		
28/10/2009 09:10	152	59	5.48		AP		
10/11/2009 15:05	153	56	4.75		AP		
10/02/2010 09:00	154	57.5	5.08		AP		
18/03/2010 15:15	155	62.5	6.45		AP		
07/04/2010 13:00	156	59	5.44		AP		
25/05/2010 13:20	157	76.5	9.84		AP		
07/07/2010 14:10	158	51	3.72		AP		
18/08/2010 13:05	159	71	8.48		AP		
05/10/2010 13:25	160	74.5	9.47		AP		
09/12/2010 14:45	161	99	17.5		AP		
09/02/2011 13:30	162	58	5.05		AP		
03/03/2011 13:00	163	69	7.54		AP		
19/04/2011 13:15	164	56	4.91		AP		
21/04/2011 14:30	165	54.5	4.22		AP		
17/05/2011 13:40	166	43	2.12		AP		
08/06/2011 08:30	167	42.5	2.01		AP		
20/07/2011 07:25	168	40	1.59		AP		
23/08/2011 12:20	169	89.5	13.4		AP		
14/10/2011 09:50	170	71	8.14		AP		
04/11/2011 05:00	170.1	290	300		AU		
02/12/2011 09:50	171	60	6.15		AP		
28/12/2011 08:45	172	63.5	7.12		AP		
26/01/2012 08:45	173	52.5	4.42		AP		
07/03/2012 09:40	174	45	2.98		AP		
26/04/2012 09:00	175	62.5	6.93		AP		
06/06/2012 13:50	176	76	11.1		AP		
10/07/2012 13:40	177	52	4.45		AP		
23/08/2012 13:00	178	79.5	12.5		AP		
02/10/2012 08:10	179	57	5.43		AP		
20/11/2012 08:50	180	59.5	5.87		AP		
18/12/2012 14:40	181	85	15.2		AP		
